id,author_id,conversation_id,text,created_at,author_handle,total_engagement,category,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1371935686161481728,17422867,1371935686161481728,"Al in 1992 was de eerste wereldwijde klimaattop, in Rio de Janeiro. Sindsdien is bijna geen enkel klimaatdoel gehaald. 

Nederland doet veel en veel te weinig. 

Het is tijd voor ambitieus klimaatbeleid. Het is tijd voor een klimaatkabinet. 

#NederlandKiest
#StemGroenLinks https://t.co/1pE9X4R7Ln",2021-03-16T21:25:31.000Z,jesseklaver,0.0009174052955456444,,40,51,156,13
1363827465177726977,254234597,1363827465177726977,"Politiemensen voeren vanaf vandaag terecht actie.

Vorige maand riep ik de minister al in een debat op om een fatsoenlijk loon te betalen, zeker nu!

Steun de #politieacties voor een goede cao want de #politieverdientbeter. https://t.co/4YkcufIFaM",2021-02-22T12:26:21.000Z,MarijnissenL,0.0056045001447656865,,56,68,138,9
1361766436306313220,1247853156542877696,1361766436306313220,"Ik ben blij dat jullie het allemaal zeggen want als ik het zeg, heb je straks zomaar ophef. 

#neutralefelicitaties
#neutralepolitie",2021-02-16T19:56:33.000Z,SylvanaBIJ1,0.015603487838458009,,10,13,214,1
1372267730859081728,1247853156542877696,1372267730859081728,"Ben er speciaal voor door de wasstraat gegaan: onze live verkiezingsavond! 

Nu te volgen 👉🏾: https://t.co/QDGrhHHciQ https://t.co/DsDNzO6bj1",2021-03-17T19:24:57.000Z,SylvanaBIJ1,0.04694158526191569,,18,46,633,19
1371374830558253057,367703310,1371374830558253057,"Dit moet iedereen zien. De 8 misvattingen over corona. Het beleid, de lockdowns, de angst: het is nergens op gebaseerd! https://t.co/rxT7zt0klF via @YouTube #FVD",2021-03-15T08:16:53.000Z,thierrybaudet,0.003566217543245854,,231,28,629,9
1371356183630581761,367703310,1371356183630581761,"De komende drie dagen komt het erop aan! We blijven rondtrekken om met u in gesprek te gaan. Vandaag:

10.00 Schiedam
12.00 Hoek van Holland
14.00 Rotterdam
16.00 Alphen a/d Rijn
18.00 Utrecht

#vrijheidskaravaan #FVD https://t.co/nTeGNrXFOS",2021-03-15T07:02:47.000Z,thierrybaudet,0.0049259125262894245,,244,96,867,32
1368469285765529600,966790780869316608,1368469285765529600,"Een deel van je studie in het buitenland volgen via het Erasmus+ programma? Volt wil dat ook MBO’ers en HBO’ers dat recht krijgen. Daarom willen wij ons inzetten voor subsidie. Keuzevrijheid, ook voor mbo’ers! #StemVolt https://t.co/YqHXttPZY6",2021-03-07T07:51:17.000Z,VoltNederland,0.016030801540077005,,29,9,185,6
1365702231379607553,933973531968397312,1365702231379607553,"Wie denkt dat sneltesten en zelftesten duur zijn, weet niet wat een lockdown kost.

Laten we gevaccineerde mensen weer toegang geven tot het maatschappelijk leven.

En geef degene die het vaccin nog niet heeft gehad dezelfde vrijheid met een negatieve test in de achterzak. #D66 https://t.co/eerEl0Kgu8",2021-02-27T16:36:00.000Z,SigridKaag,0.03683062757450933,,134,1347,781,170
1364553230806573057,223455196,1364553230806573057,"Uit het Coronaprik Meldpunt van 50PLUS blijkt dat er enorm veel onduidelijkheid is over het vaccinatieschema. “De onzekerheid over wanneer mensen geprikt gaan worden is heel vervelend”, vindt Kamerlid @LeonieSazias, die vroeg om veel meer duidelijkheid.
https://t.co/wfJlPwq9e8",2021-02-24T12:30:17.000Z,50pluspartij,0.003691126531817511,,7,4,14,0
1370401228056887306,118084079,1370401228056887306,Mooi compliment van @PieterOmtzigt... Wat had ik hem er graag bij gehad bij @BoerBurgerB #BBB #17maart2021 #Lijst23 https://t.co/EdLzhIVAfh,2021-03-12T15:48:08.000Z,lientje1967,0.002126481337911175,,8,10,76,2
1364558004394340353,811509459310747648,1364558004394340353,"""Laat je die mensen maar wegrotten in die kampen aan de rand van Europa om het heiligdom van de witte mensen te beschermen, of zijn we solidair met onze medemens die nooit in een vluchtelingenkamp hoeft te zitten?""

@RebekkaTimmer in @deKanttekening

https://t.co/mydZTdzE5r",2021-02-24T12:49:15.000Z,PolitiekBIJ1,0.004496139184830417,,7,7,31,1
1365738474209484806,28076891,1365738474209484806,"Meer van hetzelfde is niet genoeg. Het kan vrijer, gelijker en rechtvaardiger.

We kunnen sterker uit de crisis komen. Nu investeren in het onderwijs. Echte keuzes maken voor het klimaat. En heel veel woningen bouwen. Dát is D66. 

Doe mee 👉 https://t.co/MtwhYFN83S https://t.co/6mffkTMiar",2021-02-27T19:00:01.000Z,D66,0.0009108276387143785,,26,104,49,16
1368669044270919680,3017869683,1368669044270919680,DENK wil alles in het werk stellen om het MKB de onbetwiste groeiende banenmotor van Nederland te laten blijven. Lezen hoe we dat concreet willen bereiken? Klik op de link! #DENKanders #17maart2021 https://t.co/jwylwN83Ls https://t.co/yivTYOh4DB,2021-03-07T21:05:03.000Z,DenkNL,0.0008358707982566123,,3,3,8,0
1371089366198681600,11836402,1371089366198681600,"Stem 15, 16 of 17 maart voor #MeerToekomst #MeerGroenLinks. En sla vandaag met ons het #Klimaatalarm. 

Laat je horen: maak om 15.00u. lawaai, deel je foto's, video's, of een mooie visual uit onze toolkit: https://t.co/3m8anc2djj.

Komende verkiezingen zijn klimaatverkiezingen! https://t.co/kicaSRI4l4",2021-03-14T13:22:33.000Z,groenlinks,0.0007194897909288403,,21,5,75,2
1370297680337993728,223455196,1370297680337993728,Gisteren hebben 12 politieke partijen het stemakkoord van Controle Alt Delete getekend. Daarin is afgesproken dat zij zich tijdens én na de formatie ervoor inspannen dat overheidsinstanties etniciteit niet langer gebruiken om fraude te bestrijden. https://t.co/BtZGXW4zQo,2021-03-12T08:56:40.000Z,50pluspartij,0.0022146759190905065,,2,1,12,0
